Installed Asset Serial Number,Ticket Number,Title,Installed Asset,Status,Resources,Client,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
NXGNZAA0029170F7257600,T20220908.0001,Acer C771-C4TM Chromebook,Acer C771-C4TM Chromebook,Waiting Repair,"Ostling, Nicholas (primary)",School District of De Forest,0.00,De Forest - ADP - Acer C771,Low,09/08/2022 06:42 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Administration
5CD8503DN2,T20220908.0002,HP Chromebook 11 G6 EE 4GB/16GB,HP Chromebook 11 G6 EE 4GB/16GB,Complete,"Julsrud, Matthew (primary)",School District of Brookville Area,0.00,Brookville Area - ADP - HP 11 G6 EE,Low,09/08/2022 06:45 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD8445W02,T20220908.0003,HP Chromebook 11 G6 EE 4GB/16GB,HP Chromebook 11 G6 EE 4GB/16GB,Complete,"Julsrud, Matthew (primary)",School District of Brookville Area,0.00,Brookville Area - ADP - HP 11 G6 EE,Low,09/08/2022 06:48 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
P208ACMD,T20220908.0004,Lenovo Tab 10e,Lenovo Tab 10e,Waiting Pickup,,School District of Brookville Area,0.00,Brookville Area - ADP - Lenovo Tab 10e - NO DED,Low,09/08/2022 06:52 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
P20887XW,T20220908.0005,Lenovo Tab 10e,Lenovo Tab 10e,Waiting Pickup,,School District of Brookville Area,0.00,Brookville Area - ADP - Lenovo Tab 10e - NO DED,Low,09/08/2022 06:56 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
GQD12G2,T20220908.0006,Dell Chromebook 3189 Touch,Dell Chromebook 3189 Touch,Waiting Repair,,School District of Tift County,0.00,Tift County - ADP - Dell 3189 - NO DED - T&L - Batt Included,Low,09/08/2022 06:59 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
P20887YE,T20220908.0007,Lenovo Tab 10e,Lenovo Tab 10e,Waiting Pickup,,School District of Brookville Area,0.00,Brookville Area - ADP - Lenovo Tab 10e - NO DED,Low,09/08/2022 07:00 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
9WS84D3,T20220908.0008,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Repaired,"Eslit, Karl (primary)",School District of Tift County,0.58,Tift County - ADP - Dell 3100 - NO DED - T&L - 1 Batt Included,Low,09/08/2022 07:00 AM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
HGV78D3,T20220908.0009,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Repaired,"Eslit, Arnd (primary)",School District of Tift County,0.83,Tift County - ADP - Dell 3100 - NO DED - T&L - 1 Batt Included,Low,09/08/2022 07:01 AM,09/21/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD013JLLX,T20220908.0010,HP Chromebook 11 G7 EE 4GB/16GB,HP Chromebook 11 G7 EE 4GB/16GB,Waiting Pickup,,School District of Brookville Area,0.00,Brookville Area - ADP - HP 11 G7 EE,Low,09/08/2022 07:03 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
6ZHK4D3,T20220908.0011,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Repaired,"Rosas-Soto, Alejandro (primary)",School District of Tift County,0.50,Tift County - ADP - Dell 3100 - NO DED - T&L - 1 Batt Included,Low,09/08/2022 07:04 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
38YJ2G2,T20220908.0012,Dell Chromebook 3189 Touch,Dell Chromebook 3189 Touch,Repaired,"Espinoza, Miguel (primary)",School District of Tift County,0.75,Tift County - ADP - Dell 3189 - NO DED - T&L - Batt Included,Low,09/08/2022 07:06 AM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
